1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-55.48,-40.15,-62.38,-53.79,-61.13,-53.29,0,-54.55,-73.75,-67.91,-73.56,-41.92,-56.4,0,-60.15,-33.55,-59,-60.5,-76.5,-58,0,-73,-74.5,-52.96,-67.29,-32.54,-71.4,0,-62
0,-52.33,-40.82,-61.04,-54.08,-62.23,-50,0,-56,-74,-67,-79,-44.57,-57.33,0,-58.5,-34.29,-56,-60.71,-79.54,-60.39,0,-71.11,-70.54,-53.42,-69.68,-32.29,-71.19,0,-60.84
0,-52.14,-39.54,-61.43,-53.81,-62.92,-47.04,0,-55.75,-81.78,-69.67,-78.91,-39.33,-56.33,0,-61,-33.67,-57,-60.75,-80.25,-60.25,0,-70.5,-70.33,-53.43,-69.92,-32.61,-71.1,0,-60.72
0,-52.5,-37.5,-61,-54,-61,-47.36,0,-55.96,-77.77,-71.68,-77.28,-39,-57,0,-61.5,-34,-57,-60.25,-77.25,-61.5,0,-74.21,-70.39,-53.57,-71.39,-32.36,-72.64,0,-60.89
0,-51,-40.18,-61.53,-53.89,-63.05,-42.4,0,-56,-81.5,-69.6,-77.5,-41.92,-56.13,0,-62,-34.14,-56.59,-60.96,-79.5,-62.27,0,-72.25,-70.95,-54.2,-69.75,-32,-70.67,0,-61
0,-51.57,-39.61,-62,-53.5,-62.96,-41,0,-55,-78,-68,-80,-43,-55.25,0,-61.33,-33,-57,-61.61,-79.93,-61.14,0,-74.5,-72,-53.43,-68.29,-31.68,-73.93,0,-63.11
0,-52.57,-38.43,-62.31,-53.67,-63.08,-47.65,0,-54.08,-80.17,-68,-74.69,-41.29,-55.09,0,-61.05,-33,-56.87,-61.88,-80.71,-61.22,0,-73.89,-72.16,-51.4,-68,-31.67,-73.5,0,-63
0,-51.68,-38.44,-62,-53.47,-63.17,-48.71,0,-53.71,-83.33,-67.4,-75.25,-39,-55,0,-61,-31.67,-57.25,-61.79,-81.31,-61.13,0,-74.13,-72.31,-53,-67,-32,-74,0,-63
0,-51.96,-40.36,-62.18,-53.43,-63.21,-47.14,0,-53.75,-80.61,-67.79,-75.04,-39,-55,0,-61,-33,-57,-61.82,-80.93,-61.07,0,-74.93,-72.43,-53.11,-68.57,-31.86,-73.79,0,-63.25
0,-52.58,-38.9,-63,-54.3,-63,-49.18,0,-54.05,-80.63,-67.83,-75.75,-39.85,-54.74,0,-60.78,-33.76,-57.39,-59.88,-78.44,-59.08,0,-73.07,-70.82,-53.33,-68,-32.25,-74.43,0,-63.5
0,-52.47,-39.64,-62.07,-53.58,-63.25,-47,0,-54,-80,-69,-75.67,-40,-54.92,0,-60.82,-33.95,-57,-61.5,-80.18,-60.29,0,-73.68,-71.75,-52.94,-68.5,-31.53,-73.57,0,-63.62
0,-52.5,-38,-63,-54,-64,-50,0,-54,-80,-67.5,-75,-38.33,-54,0,-61,-33,-58,-61.5,-81,-60.5,0,-74.5,-70.5,-53.43,-68.36,-31.89,-74.11,0,-63.29
0,-51.35,-38.71,-62.14,-53.74,-63,-47.18,0,-53.84,-81,-67.61,-74.68,-40.9,-54.7,0,-61.33,-33.82,-57.2,-61.1,-80.89,-60.38,0,-73.5,-71.6,-53.24,-68.13,-32.07,-74,0,-63.08
0,-51.73,-40.48,-62.22,-53.59,-62.95,-49.83,0,-53.5,-80.5,-67.6,-75.2,-40.19,-55.06,0,-60.9,-34.09,-57.55,-61.48,-80.41,-60.35,0,-75.62,-72.24,-53.15,-68.08,-32.32,-75.63,0,-63.31
0,-52,-37.5,-60,-54,-63.5,-47.82,0,-54,-79.05,-67.63,-74.67,-40.11,-54.85,0,-60.93,-34.29,-57.29,-61.36,-78.86,-60.46,0,-73.61,-71.43,-53.08,-68.14,-31.96,-73.47,0,-63.32
0,-51,-39,-62,-53.5,-63.5,-41,0,-54,-79,-68,-75.5,-39.46,-54.61,0,-60.74,-33,-57.29,-61.75,-78.29,-60.2,0,-72.85,-71.24,-53.46,-68.26,-31.77,-72.44,0,-63.26
0,-51.71,-39,-62.27,-53.62,-63.29,-47.86,0,-53.86,-79,-67.75,-74.6,-39.37,-54.52,0,-60.84,-33.57,-57.07,-61.33,-79.13,-60.32,0,-73.29,-71.54,-53.11,-68.64,-31.79,-72.92,0,-63.21
0,-53,-37,-62.33,-53.5,-63,-51,0,-53.5,-78,-66,-75,-39.13,-54.55,0,-60.72,-33.44,-57,-61,-79,-61,0,-73,-71,-53.57,-68.48,-31.79,-72.67,0,-63.15
0,-51.24,-39.45,-62.14,-53.16,-63.06,-47.64,0,-54.25,-79.29,-67.73,-74.59,-39.5,-55,0,-60.67,-33.89,-57.25,-62,-79,-60.57,0,-73.4,-71.57,-53.44,-68.29,-32.09,-72.86,0,-62.88
0,-52,-38,-62,-54,-63,-48.18,0,-54.19,-78.63,-67.77,-75.05,-40.2,-54.82,0,-60.5,-33.72,-57.13,-61.25,-79,-60.82,0,-73.19,-71.57,-53,-68.5,-32,-73.2,0,-64
0,-52,-41.71,-62.69,-53.93,-63.47,-46.5,0,-54.17,-79.9,-67.42,-75.09,-40,-54.71,0,-60.81,-33.11,-57.15,-61.56,-79.22,-60.79,0,-72.75,-71.67,-53.3,-68.58,-32.14,-73.19,0,-63.43
0,-52.23,-41.24,-62.15,-53.67,-62.85,-48.25,0,-54.14,-80.5,-67.86,-74.71,-40.81,-54.78,0,-60.87,-33.17,-57.32,-61.47,-79,-60.85,0,-73.15,-71.69,-52.35,-68.5,-32.3,-73.64,0,-63.28
0,-52.57,-38.73,-62.36,-53.58,-63.13,-49.8,0,-54.2,-80.4,-67.2,-74.6,-40.64,-54.86,0,-60.64,-33.67,-57.11,-61.55,-80.56,-60.4,0,-73.63,-71.35,-53.41,-68.53,-31.79,-73.5,0,-63.33
0,-52.04,-40.24,-62.21,-53.57,-63.48,-48.29,0,-54.11,-80.78,-67.57,-74.36,-39.79,-55.19,0,-60.81,-33.38,-57.07,-61,-80.5,-60,0,-72.5,-71,-52.78,-68.05,-32.15,-74.1,0,-63.17
0,-51.48,-39.52,-62.39,-53.38,-63,-45,0,-53.67,-79.5,-67.43,-73.63,-39.33,-54.33,0,-60.86,-33.5,-57,-61.32,-80.96,-60.64,0,-74.29,-72.04,-53.67,-68.17,-32.56,-73.6,0,-63.67
0,-52.17,-39.41,-62.35,-53.77,-63.15,-46.92,0,-53.33,-79.2,-67.25,-74.14,-38.77,-54.81,0,-60.92,-33.42,-57.2,-61.13,-79.63,-60.63,0,-72.86,-71.5,-52.8,-68.75,-32.13,-73.25,0,-63
0,-52,-39,-62.67,-53.33,-63.5,-48.11,0,-54,-79.82,-67.71,-74,-40.18,-55.08,0,-60.59,-33.57,-57.29,-61.17,-80.56,-60.3,0,-74.2,-71.89,-52.58,-68.05,-32.21,-74,0,-63.13
0,-51.75,-41.04,-62.48,-53.74,-63.11,-47.96,0,-53.79,-79.45,-67.14,-74.24,-39,-55,0,-61,-34,-57,-61.64,-79.67,-60.54,0,-73.8,-72.08,-53.15,-67.9,-32,-73.87,0,-63.19
0,-51.53,-40.25,-62.3,-54.13,-62.63,-48.55,0,-54,-81.14,-67.43,-74,-42,-55,0,-61.57,-34.13,-57.43,-61.29,-81.23,-60.83,0,-74.63,-72.29,-52.61,-68.39,-32.1,-74.27,0,-63.39
0,-52.57,-39.78,-62.43,-53.2,-63.33,-48.08,0,-53.73,-81.25,-67.36,-73.88,-40.04,-54.85,0,-61.19,-34,-57.04,-61.57,-81.46,-60.68,0,-74.89,-72.25,-53.17,-68.28,-32.48,-74.86,0,-62.92
0,-51.91,-39.05,-62.22,-53.35,-62.86,-48.8,0,-54,-81.25,-67,-73,-39.82,-54.63,0,-60.84,-34.04,-57.46,-61.6,-80.75,-60.42,0,-75.2,-72.41,-53.32,-67.86,-32.33,-74.88,0,-63.35
0,-52.67,-40.67,-62,-54,-63,-48.76,0,-54.29,-76.05,-67.37,-77.5,-39.7,-55,0,-61.68,-34.24,-57.09,-59.67,-76,-59.75,0,-82,-71,-53.33,-68.22,-32.58,-78.13,0,-63.06
0,-51.83,-39.46,-61.83,-54,-63.24,-49.71,0,-52.71,-79.11,-67.2,-73.93,-40.04,-54.43,0,-60.94,-33.7,-57.46,-61.13,-78.67,-59.67,0,-74,-72.8,-53.25,-68,-32.3,-77,0,-63.4
0,-52.5,-37,-62,-53,-63,-46,0,-52,-78.5,-67,-74,-38.57,-54.41,0,-60.37,-33.89,-57.48,-61.21,-76.36,-59.48,0,-75.14,-72.96,-53,-68.5,-31.75,-74,0,-64
